,Date,Type,Note,Amount,y,m,d
0,2019/12/05,Subscriptions,Spotify,5.0,2018,3,5
0,2019/12/05,Food,Chipotle,3.0,2019,12,5
0,2019/12/05,Food,FFC,9000.0,2019,2,5
0,2019/12/05,Food,aaaaaaaaaaaa,2000.0,2019,12,5
0,2019/12/05,Misc,asdfsadsdf,22.0,2019,12,5
0,2019/12/05,Misc,sdf,22.0,2019,12,5
0,2019/12/05,Misc,sdf,3.0,2019,12,5
0,2019/12/05,Misc,sdfsdfsdf,34343.0,2019,12,5
0,2019/12/05,Misc,sdfsdfsdfdd,33.0,2019,12,5
0,2019/12/05,Misc,6,999999.0,2019,12,5
0,2019/12/05,Misc,sdfsdfds,23423.0,2018,12,5
0,2019/12/05,Misc,sdafsfefsefaesfasef,343.0,2019,12,5
0,2019/12/05,Misc,3sdafsfefsefaesfasef,33.0,2019,10,5
0,2019/12/05,Misc,dfghdfgdfgh,234.0,2019,12,5
0,2019/12/05,Misc,sdfsdfs,33.0,2019,12,5
0,2019/12/05,Bills,rent,789.0,2019,12,5
0,2019/12/05,Entertainment,stuff,1242.23,2019,4,5
0,2019/12/05,Food,snack,2.0,2018,12,5
0,2019/12/05,Entertainment,keke,454.0,2019,12,5
0,2019/12/05,Bills,tttt,867.0,2019,12,5
0,2019/12/05,Bills,asdfsd,111.0,2019,12,5
0,2019/12/05,Bills,sefsefse,232.0,2019,12,5
0,2019/12/05,Bills,asdadwa,23232.0,2018,12,5
0,2019/12/05,Bills,test,1.0,2019,12,5
0,2019/12/05,Misc,sfefse,33.0,2019,12,5
0,2019/12/05,Misc,sfsefsef,22.0,2019,7,5
0,2019/12/05,Misc,last,33.0,2018,12,5
0,2019/12/05,Misc,sdfsd,23232.0,2019,12,5
0,2019/12/05,Misc,dfdsfsd,24234.0,2018,12,5
0,2019/12/05,Misc,TA bribe,200.0,2019,12,5
0,2019/12/05,Misc,34234234,23423.0,2019,12,5
0,2019/12/05,Misc,werwe,333.0,2018,8,5
0,2019/12/05,Bills,sfsef,23434.0,2019,12,5
0,2019/12/06,Misc,sdafds,3423.0,2019,12,6
0,2019/12/06,Misc,dd,3.0,2019,12,6
0,2019/12/06,Misc,dec 6,123.0,2019,12,6
0,2019/12/06,Subscriptions,reeee,22.0,2019,12,6
